課名,授課教授,開課系所,學分,最後開課學期,流水號,課號,品質,甜度,涼度,紮實,評價內容,評價明細_JSON
歐洲文學1800以後,廖咸浩,外國語文學系、外國語文學系、外國語文學系、外國語文學系、外國語文學系,3,114-2,32958,FL2006,4.5,4.5,2.0,3.5,"[""[User41650 | 109-2]: 歐洲大陸浪漫主義之後的文學作品和思潮，介紹浪漫主義、寫實主義、現代主義、及後現代主義等。選讀的作品包括盧梭Confessions、海涅的詩、福樓拜Madame Bovary、杜斯妥也夫斯基Notes from Underground、波特來爾的詩、湯瑪斯曼Death in Venice、卡夫卡Metamorphosis、波赫士The Garden of Forking Paths\n這學期修課的人少，上課感覺起來像小型讀書會。當週如果是教某個作家的第一週，老師會安排半小時讓小組報告作家的生平、思想和作品，之後老師會針對同學報告做點評和補充。在進入某某主義文本之前，老師會用PPT介紹該主義的思想核心和它跟其他主義的關聯。小組報告和介紹完主義概要之後就進入文本。老師的上課方式是帶文本的close reading，會抽點同學問文本相關的問題(預設大家課前都讀完指定閱讀了)，因為我們班人很少，基本上每次上課都會點過兩三輪(常常答出來老師就默默知道你沒念文本了(?)，每個文本都會在上課時重點式的過過一遍。這學期一開始時本來有課前小考，後來就乾脆用點人問問題的方式取代小考順便點名了。老師上課速度不算快，喜歡跟同學們有互動，鼓勵主動發問(或許在內心默默幫發言踴躍的同學加分?)，對於任何問題老師都可以旁徵博引提供更多思考方向，也常常跟我們分享他的人生經驗(真的很豐富)，個人覺得上課氛圍相當輕鬆愉快。學期後半段因疫情轉為視訊上課，覺得大家上課的反應反而變的比在教室上實體課更好(可能螢幕上的老師與自己的距離縮短了?)\nThe Norton Anthology of Western Literature, vol. 2, 9th ed.\nNorton沒有選到的文本老師會另外寄PDF檔\n整學期共會輪到兩次小組報告，期末要交一份創意作業，有期中考和期末考。\n創意作業的內容：老師會給一份作品清單，都是跟上課主題有關聯的，我們可以自選有興趣的作品，根據它做其他藝術形式的創作(畫畫、寫詩、雕塑、舞蹈、音樂...)並在期末繳交。我選的是根據小說內容寫詩，老師後來還回信稱讚我的詩(菜鳥如我覺得受到莫大鼓勵)，雖然只有短短兩句話還是可以感受到老師的關愛!\n期中期末考形式雷同，10題左右的簡答題，2~3題essay(忘記期中有沒有考id了)簡答題用3~4句話回答，大多是文本內容進一步的推論，大部分是上課討論過的問題。essay就比較廣泛，可能會從上課帶過的XX主義做延伸，例如某部小說在哪些概念上可說是某某主義作品、它反對什麼主義的什麼面向，或是比較幾部作品在某個主題上的異同，等等。對文本夠熟的話，考試寫起來應該不會難。\n各項目的成績占比以及老師的評分標準至始至終都是個謎。不過如果有做到上課積極參與、文本認真讀、創意作業和期中期末認真寫的話，老師是會給出好成績的！(期中考老師給我95，但我怎麼想都覺得光我空白沒寫的跟趕時間亂掰的題目扣分就應該要扣超過5分了吧...essay也沒寫得多好)推測老師更看重的是用心程度跟整體表現，而不是個別項目的成績~\n老師期末的時候怨嘆說我們都沒有人預約他的office hour，害他覺得有點空虛~以後修課的同學真的可以多多跟老師交流啊!不過重點還是要對的上老師的key，不喜歡老師的上課模式的話可能會上的有點辛苦""]","[{""User_ID"": ""User41650"", ""Semester"": ""109-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""歐洲大陸浪漫主義之後的文學作品和思潮，介紹浪漫主義、寫實主義、現代主義、及後現代主義等。選讀的作品包括盧梭Confessions、海涅的詩、福樓拜Madame Bovary、杜斯妥也夫斯基Notes from Underground、波特來爾的詩、湯瑪斯曼Death in Venice、卡夫卡Metamorphosis、波赫士The Garden of Forking Paths\n這學期修課的人少，上課感覺起來像小型讀書會。當週如果是教某個作家的第一週，老師會安排半小時讓小組報告作家的生平、思想和作品，之後老師會針對同學報告做點評和補充。在進入某某主義文本之前，老師會用PPT介紹該主義的思想核心和它跟其他主義的關聯。小組報告和介紹完主義概要之後就進入文本。老師的上課方式是帶文本的close reading，會抽點同學問文本相關的問題(預設大家課前都讀完指定閱讀了)，因為我們班人很少，基本上每次上課都會點過兩三輪(常常答出來老師就默默知道你沒念文本了(?)，每個文本都會在上課時重點式的過過一遍。這學期一開始時本來有課前小考，後來就乾脆用點人問問題的方式取代小考順便點名了。老師上課速度不算快，喜歡跟同學們有互動，鼓勵主動發問(或許在內心默默幫發言踴躍的同學加分?)，對於任何問題老師都可以旁徵博引提供更多思考方向，也常常跟我們分享他的人生經驗(真的很豐富)，個人覺得上課氛圍相當輕鬆愉快。學期後半段因疫情轉為視訊上課，覺得大家上課的反應反而變的比在教室上實體課更好(可能螢幕上的老師與自己的距離縮短了?)\nThe Norton Anthology of Western Literature, vol. 2, 9th ed.\nNorton沒有選到的文本老師會另外寄PDF檔\n整學期共會輪到兩次小組報告，期末要交一份創意作業，有期中考和期末考。\n創意作業的內容：老師會給一份作品清單，都是跟上課主題有關聯的，我們可以自選有興趣的作品，根據它做其他藝術形式的創作(畫畫、寫詩、雕塑、舞蹈、音樂...)並在期末繳交。我選的是根據小說內容寫詩，老師後來還回信稱讚我的詩(菜鳥如我覺得受到莫大鼓勵)，雖然只有短短兩句話還是可以感受到老師的關愛!\n期中期末考形式雷同，10題左右的簡答題，2~3題essay(忘記期中有沒有考id了)簡答題用3~4句話回答，大多是文本內容進一步的推論，大部分是上課討論過的問題。essay就比較廣泛，可能會從上課帶過的XX主義做延伸，例如某部小說在哪些概念上可說是某某主義作品、它反對什麼主義的什麼面向，或是比較幾部作品在某個主題上的異同，等等。對文本夠熟的話，考試寫起來應該不會難。\n各項目的成績占比以及老師的評分標準至始至終都是個謎。不過如果有做到上課積極參與、文本認真讀、創意作業和期中期末認真寫的話，老師是會給出好成績的！(期中考老師給我95，但我怎麼想都覺得光我空白沒寫的跟趕時間亂掰的題目扣分就應該要扣超過5分了吧...essay也沒寫得多好)推測老師更看重的是用心程度跟整體表現，而不是個別項目的成績~\n老師期末的時候怨嘆說我們都沒有人預約他的office hour，害他覺得有點空虛~以後修課的同學真的可以多多跟老師交流啊!不過重點還是要對的上老師的key，不喜歡老師的上課模式的話可能會上的有點辛苦""}]"
法文二下,達力安,外國語文學系,3,114-2,48240,FL3012,,,,,"[""無評價""]",[]
法文二下,謝艾米,外國語文學系,3,114-2,29764,FL3012,,,,,"[""無評價""]",[]
德文二下,漢駿緯,外國語文學系,3,114-2,20083,FL3014,,,,,"[""無評價""]",[]
西班牙文二下,張雯媛,外國語文學系,3,114-2,36763,FL3016,,,,,"[""無評價""]",[]
英文作文二下,翁怡錚,外國語文學系,2,114-2,47853,FL2010,,,,,"[""無評價""]",[]
英文作文二下,周昱翔,外國語文學系,2,114-2,50459,FL2010,4.0,1.0,0.5,4.0,"[""[User96697 | 110-2]: Doing a research project for final""]","[{""User_ID"": ""User96697"", ""Semester"": ""110-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""Doing a research project for final""}]"
英文作文二下,于昌民,外國語文學系,2,114-2,13834,FL2010,,,,,"[""無評價""]",[]
英語口語訓練二下,奇邁可,外國語文學系,2,114-2,26279,FL2012,,,,,"[""無評價""]",[]
英語口語訓練二下,吳敏嘉,外國語文學系,2,114-2,10736,FL2012,,,,,"[""無評價""]",[]
英語口語訓練二下,曾琦智,外國語文學系,2,114-2,17172,FL2012,,,,,"[""無評價""]",[]
英語口語訓練二下,黃恆綜,外國語文學系,2,114-2,21385,FL2012,,,,,"[""無評價""]",[]
日文二下,黃意婷,外國語文學系,3,114-2,11017,JpnL3048,,,,,"[""無評價""]",[]
阿拉伯文一下,初雅士,外國語文學系,3,114-2,59541,FL2126,,,,,"[""無評價""]",[]
葡萄牙文一下,林祖誠,外國語文學系,3,114-2,45821,FL2028,,,,,"[""無評價""]",[]
荷蘭文一下,敖馨郁,外國語文學系,3,114-2,16126,FL2030,,,,,"[""[PTT | 105-2]: 轉載自 PTT 作者 ID: LYC1025 ()\n哪一學年度修課：\n105-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\nLaura Ahlheid 敖馨郁\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n外文系\n\nδ 課程大概內容\nChapter 7\nDemonstrative pronouns, shopping, money\nPrepositions of time, locations, making payments\nShops, opening times, working hours\n\nChapter 8\nVerbs with prepositions, food and drink, eating culture\nExpressing preferences, various cuisines\nIndefinite pronouns, restaurants\n\nChapter 9\nWord order and sentence order. Work and professions\nInvitations\nReferencing subject and object\n\nMidterm exam: written and oral\n\nChapter 10\nPast tense and perfect tense\nKoningsdag\nRegular and irregular verbs\nThe weather, the bicycle and public transportation\n\nChapter 11\nAdjectives, prepositions, describing\nAuxiliary verbs, housing and living environment\n\nChapter 12\nComparative and superlative\nAsking/giving directions\n\nStudent oral presentations\n\nFinal exam: written and oral exam\n\nΩ 私心推薦指數(以五分計) ★★★★★\n★★★★★\n\nη 上課用書(影印講義或是指定教科書)\nTotaal 1 & 老師講義\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n投影片為主，並搭配板書，上課主要先從文法開始，在進入單字最後課文對話，每次講完\n一小部分都有小組練習時間，不過是玩小遊戲還是課本練習，都會讓我們更熟悉這塊。真\n的很喜歡玩小遊戲，每次都欲罷不能XD\n老師上課主要是用中文上課，所以不管是文法單字還是對話都不難讀懂。\n\nσ 評分方式(給分甜嗎？是紮實分？)\nTests and assignments 20%\nMidterm-exam: written and oral 40%\nFinal exam: written and oral 40%\n\nρ 考題型式、作業方式\n主要考老師上課所提過的文法單字，口試老師在考前的一堂課都會提供一些範例題型幫助\n我們更好準備。\n作業偶爾會有課本習題或玩完小遊戲後，用那次學到的文法造句子。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n加簽的話，只要跟老師說過你學過一點荷蘭文老師都會給授權碼。\n老師好像不太管出席與否，不過語言課最好還是都出席才比較不會漏掉東西，更何況有數\n不清的小遊戲可以玩，何樂而不為呢XD\n\n\nΨ 總結\n台大有滿多人想去荷蘭交換的，我覺得這堂課可以幫助你們更了解荷蘭的文化，另一方面\n讓你們到荷蘭後更有熟悉感。而從荷蘭交換回來的同學，更應該把握機會學一下基礎的荷\n蘭文，因為每次的內容都與生活息息相關，你們將會在課堂上找到熟悉的荷蘭味。\nLaura對學生超級nice，會在相關課程中，給予學生品嘗道地的荷蘭美食，舉凡pannenkoe\nk，Tompoes等等，真的是非常美味!\n這堂課對於想要了解荷蘭的人，絕對能滿足你的需求，因為荷蘭文一含括了食衣住行，配\n合Laura的講解以及遊戲的搭配再加上美味的荷蘭小吃，在這一年之中，荷蘭將不在是在\n遙遠的歐洲，而是存在於每周一四的早上XD\n希望大家多多支持Laura的荷蘭文課~~\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1498742815.A.746.html""]","[{""User_ID"": ""PTT"", ""Semester"": ""105-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: LYC1025 ()\n哪一學年度修課：\n105-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\nLaura Ahlheid 敖馨郁\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n外文系\n\nδ 課程大概內容\nChapter 7\nDemonstrative pronouns, shopping, money\nPrepositions of time, locations, making payments\nShops, opening times, working hours\n\nChapter 8\nVerbs with prepositions, food and drink, eating culture\nExpressing preferences, various cuisines\nIndefinite pronouns, restaurants\n\nChapter 9\nWord order and sentence order. Work and professions\nInvitations\nReferencing subject and object\n\nMidterm exam: written and oral\n\nChapter 10\nPast tense and perfect tense\nKoningsdag\nRegular and irregular verbs\nThe weather, the bicycle and public transportation\n\nChapter 11\nAdjectives, prepositions, describing\nAuxiliary verbs, housing and living environment\n\nChapter 12\nComparative and superlative\nAsking/giving directions\n\nStudent oral presentations\n\nFinal exam: written and oral exam\n\nΩ 私心推薦指數(以五分計) ★★★★★\n★★★★★\n\nη 上課用書(影印講義或是指定教科書)\nTotaal 1 & 老師講義\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n投影片為主，並搭配板書，上課主要先從文法開始，在進入單字最後課文對話，每次講完\n一小部分都有小組練習時間，不過是玩小遊戲還是課本練習，都會讓我們更熟悉這塊。真\n的很喜歡玩小遊戲，每次都欲罷不能XD\n老師上課主要是用中文上課，所以不管是文法單字還是對話都不難讀懂。\n\nσ 評分方式(給分甜嗎？是紮實分？)\nTests and assignments 20%\nMidterm-exam: written and oral 40%\nFinal exam: written and oral 40%\n\nρ 考題型式、作業方式\n主要考老師上課所提過的文法單字，口試老師在考前的一堂課都會提供一些範例題型幫助\n我們更好準備。\n作業偶爾會有課本習題或玩完小遊戲後，用那次學到的文法造句子。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n加簽的話，只要跟老師說過你學過一點荷蘭文老師都會給授權碼。\n老師好像不太管出席與否，不過語言課最好還是都出席才比較不會漏掉東西，更何況有數\n不清的小遊戲可以玩，何樂而不為呢XD\n\n\nΨ 總結\n台大有滿多人想去荷蘭交換的，我覺得這堂課可以幫助你們更了解荷蘭的文化，另一方面\n讓你們到荷蘭後更有熟悉感。而從荷蘭交換回來的同學，更應該把握機會學一下基礎的荷\n蘭文，因為每次的內容都與生活息息相關，你們將會在課堂上找到熟悉的荷蘭味。\nLaura對學生超級nice，會在相關課程中，給予學生品嘗道地的荷蘭美食，舉凡pannenkoe\nk，Tompoes等等，真的是非常美味!\n這堂課對於想要了解荷蘭的人，絕對能滿足你的需求，因為荷蘭文一含括了食衣住行，配\n合Laura的講解以及遊戲的搭配再加上美味的荷蘭小吃，在這一年之中，荷蘭將不在是在\n遙遠的歐洲，而是存在於每周一四的早上XD\n希望大家多多支持Laura的荷蘭文課~~\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1498742815.A.746.html""}]"
土耳其文一下,初雅士,外國語文學系,3,114-2,58150,FL2032,,,,,"[""無評價""]",[]
波蘭文一下,陳音卉,外國語文學系,3,114-2,31028,FL2132,,,,,"[""無評價""]",[]
捷克文一下,林學紀,外國語文學系,3,114-2,59081,FL2170,,,,,"[""無評價""]",[]
外語教學專題,許文僊,外國語文學系,2,114-2,21292,FL2204,,,,,"[""無評價""]",[]
翻譯實作下,馬耀民,外國語文學系,2,114-2,28117,FL3250,,,,,"[""無評價""]",[]
葡萄牙文二下,林祖誠,外國語文學系,3,114-2,28672,FL3026,,,,,"[""無評價""]",[]
荷蘭文二下,敖馨郁,外國語文學系,3,114-2,26903,FL3196,,,,,"[""[PTT | 105-2]: 轉載自 PTT 作者 ID: LYC1025 ()\n哪一學年度修課：\n105-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\nLaura Ahlheid 敖馨郁\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n外文系\n\nδ 課程大概內容\nLes 17\nOp zakenreis: woordweb'op reis'\nLeestekst en vragen\nRelatief voornaamwoord : die/dat, wie/wat\nDuratief: aan het + infinitief\nTijdschriften en kranten leestekst & vragen\nTV en radio in Nederland\nGrammatica: actie en het resultaat ervan: zetten/leggen\n\nTV: Nederlandse soap\nInternet en sociale media\n\nLes 18\nDiscussie 1: media in Taiwan\nVocabularie les 18\nGrammatica: de verleden tijd\nVerleden en nostalgie: Het Dorp\nGebruik van 'toen/als/dat'\n15 miljoen mensen\nToerisme in Nederland en statistiek rapporteren\nNederland en het water\nPresentatie 1: vrij thema uit de canon van Nederland\nMidterm exam\n\nLes 19\nKoningsdag en oranjegekte\nGrammatica: de passieve vorm\nVocabularie\nDe passieve vorm\nVergaderen\nuitdrukkingen met 'het'\nExtra vocabularie: de telefoon\nMening geven\nVergadering rollenspel\nDiscussie: vergadercultuur Nederland vs Taiwan\n\nLes 20\nVocabularie en tekst\nGrammatica: duratief en dubbele infinitief\nThema: dieren en planten\nGrammatica: zou/zouden, beleefde vraag, advies\nMade in Holland tekst: culturele iconen en sterotiepen\nDiscussie: typisch Nederland\nLekker/leuk en gezellig\n\nPresentatie: mijn droom reis/droombaan/droomhuis\n\nFinal exam\n\n\nΩ 私心推薦指數(以五分計) ★★★★★\n★★★★★\n\nη 上課用書(影印講義或是指定教科書)\nTotaal 1 & 老師講義\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n老師上課用投影片為主，在解釋文法時會寫板書，上課的語言主要用荷蘭文，只有比較難\n的文法或單字才用中文解釋，但基本上Laura會用最基本的荷蘭文講解，所以很少有聽不\n懂的地方，如果真的不懂，下課用中文問老師也行。\n除了單字及文法外，每一課都有一次討論時間，關於荷蘭以及台灣的比較，可以把握機會\n一邊練習說荷蘭文，一邊思考兩地差異，可以從中獲得滿多見識的。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n20% Test and assignment\n40% Midterm exam : written and oral exam\n40% Final exam : written and oral exam\n\nρ 考題型式、作業方式\n主要有字義，相似相反詞，文法跟閱讀測驗，前者讀熟老師的單字部分可以拿分，反觀閱\n讀測驗就難一點，需要回答一行行句子，常常覺得自己單字量不足。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n出席貌似不管，但不來上課真的會漏掉滿多東西的，而且班上人不多，誰有來沒來老師都\n很清楚，建議不翹課，當然有事請假是沒問題的。\n\n加簽的話，老師是都簽的，只有你有能力應付全荷蘭文的環境，不然建議還是按部就班修\n荷蘭文，如果你上學期有去荷蘭交換並在當地學習初階荷蘭文的話，可以挑戰看看荷蘭文\n二，進步的幅度真的很大。\n\nΨ 總結\n這學期很開心可以上Laura的荷蘭文二，學到了很多關於荷蘭文化，更棒的是可以跟班上\n同學們熟識，大家一同分享看法的時候真的非常gezellig，不過不得不說荷蘭文二真的讓\n人領悟到單字量不足的困擾，但每一次的不足，都會讓人想學習新的字彙，這一點一滴累\n積起來，你會發現你能略懂荷蘭youtuber在玩甚麼，能略懂荷蘭媒體的新聞標題，這成就\n真的很令人興奮\n\n老師認為荷蘭文二主要是讓我們敢於用荷蘭文表達事物的看法，因此給予我們很多機會說\n荷蘭文，所以只要勇敢開口說，不可以幫助自己的口語表達，更能在一次次的激盪中，學\n會兩國文化，這也是語言課才有的收穫。\n\n修完荷蘭文一的真的不要錯過荷蘭文二，這學期在荷蘭交換有學荷蘭文的更不能錯過荷蘭\n文二的機會，你們會在課堂當中發現更多荷蘭文化，學到更多單字文法，幫助你們開口說\n荷蘭文。\n\n\n\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1498665084.A.5EF.html""]","[{""User_ID"": ""PTT"", ""Semester"": ""105-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: LYC1025 ()\n哪一學年度修課：\n105-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\nLaura Ahlheid 敖馨郁\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n外文系\n\nδ 課程大概內容\nLes 17\nOp zakenreis: woordweb'op reis'\nLeestekst en vragen\nRelatief voornaamwoord : die/dat, wie/wat\nDuratief: aan het + infinitief\nTijdschriften en kranten leestekst & vragen\nTV en radio in Nederland\nGrammatica: actie en het resultaat ervan: zetten/leggen\n\nTV: Nederlandse soap\nInternet en sociale media\n\nLes 18\nDiscussie 1: media in Taiwan\nVocabularie les 18\nGrammatica: de verleden tijd\nVerleden en nostalgie: Het Dorp\nGebruik van 'toen/als/dat'\n15 miljoen mensen\nToerisme in Nederland en statistiek rapporteren\nNederland en het water\nPresentatie 1: vrij thema uit de canon van Nederland\nMidterm exam\n\nLes 19\nKoningsdag en oranjegekte\nGrammatica: de passieve vorm\nVocabularie\nDe passieve vorm\nVergaderen\nuitdrukkingen met 'het'\nExtra vocabularie: de telefoon\nMening geven\nVergadering rollenspel\nDiscussie: vergadercultuur Nederland vs Taiwan\n\nLes 20\nVocabularie en tekst\nGrammatica: duratief en dubbele infinitief\nThema: dieren en planten\nGrammatica: zou/zouden, beleefde vraag, advies\nMade in Holland tekst: culturele iconen en sterotiepen\nDiscussie: typisch Nederland\nLekker/leuk en gezellig\n\nPresentatie: mijn droom reis/droombaan/droomhuis\n\nFinal exam\n\n\nΩ 私心推薦指數(以五分計) ★★★★★\n★★★★★\n\nη 上課用書(影印講義或是指定教科書)\nTotaal 1 & 老師講義\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n老師上課用投影片為主，在解釋文法時會寫板書，上課的語言主要用荷蘭文，只有比較難\n的文法或單字才用中文解釋，但基本上Laura會用最基本的荷蘭文講解，所以很少有聽不\n懂的地方，如果真的不懂，下課用中文問老師也行。\n除了單字及文法外，每一課都有一次討論時間，關於荷蘭以及台灣的比較，可以把握機會\n一邊練習說荷蘭文，一邊思考兩地差異，可以從中獲得滿多見識的。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n20% Test and assignment\n40% Midterm exam : written and oral exam\n40% Final exam : written and oral exam\n\nρ 考題型式、作業方式\n主要有字義，相似相反詞，文法跟閱讀測驗，前者讀熟老師的單字部分可以拿分，反觀閱\n讀測驗就難一點，需要回答一行行句子，常常覺得自己單字量不足。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n出席貌似不管，但不來上課真的會漏掉滿多東西的，而且班上人不多，誰有來沒來老師都\n很清楚，建議不翹課，當然有事請假是沒問題的。\n\n加簽的話，老師是都簽的，只有你有能力應付全荷蘭文的環境，不然建議還是按部就班修\n荷蘭文，如果你上學期有去荷蘭交換並在當地學習初階荷蘭文的話，可以挑戰看看荷蘭文\n二，進步的幅度真的很大。\n\nΨ 總結\n這學期很開心可以上Laura的荷蘭文二，學到了很多關於荷蘭文化，更棒的是可以跟班上\n同學們熟識，大家一同分享看法的時候真的非常gezellig，不過不得不說荷蘭文二真的讓\n人領悟到單字量不足的困擾，但每一次的不足，都會讓人想學習新的字彙，這一點一滴累\n積起來，你會發現你能略懂荷蘭youtuber在玩甚麼，能略懂荷蘭媒體的新聞標題，這成就\n真的很令人興奮\n\n老師認為荷蘭文二主要是讓我們敢於用荷蘭文表達事物的看法，因此給予我們很多機會說\n荷蘭文，所以只要勇敢開口說，不可以幫助自己的口語表達，更能在一次次的激盪中，學\n會兩國文化，這也是語言課才有的收穫。\n\n修完荷蘭文一的真的不要錯過荷蘭文二，這學期在荷蘭交換有學荷蘭文的更不能錯過荷蘭\n文二的機會，你們會在課堂當中發現更多荷蘭文化，學到更多單字文法，幫助你們開口說\n荷蘭文。\n\n\n\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1498665084.A.5EF.html""}]"
