課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,詳情頁URL
大鍵琴（二）,蔡佳璇,70413,TA11420076,TAMUU0366,選修,,,,3 類,,,,https://course.ntu.edu.tw/courses/114-2/70413
管樂器（二）,賴俊諺,70419,TA11420077,TAMUU0575,選修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/70419
進階樂曲分析,黃苓瑄,70426,TA11420078,TAMUU0637,選修,,"一 6,7",和平 音209,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70426
臨床營養實習,吳啟豪,71001,TA11420079,TANSU0042,選修,,"六 1,2,3,4,5,6",,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71001
社區營養實習,沈賜川,71002,TA11420080,TANSU0043,選修,,"六 A,B",,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/71002
膳食管理實習,蔡帛蓉,71003,TA11420081,TANSU0044,選修,,"六 7,8,9,10",,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71003
光電化學基礎,柯伯尼,70443,TA11420082,TAOEC8168,選修,,"一 7,8,9",公館 Ｓ203,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70443
半導體導論,柯伯尼,70447,TA11420083,TAOEC9119,選修,,"二 7,8,9",公館 Ｓ307,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70447
西洋戲劇與劇場史：現當代專題,Alexan,70450,TA11420084,TAPAC9018,選修,,"四 3,4",和平 知音劇場,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70450
教育劇場,范聖韜,70451,TA11420085,TAPAC9021,選修,,"三 8,9",和平 知音劇場,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70451
音樂與舞蹈,張洪誠,70459,TA11420086,TAPAU0029,選修,,"三 3,4",和平 知音劇場,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70459
環境影響評估,郭乃文,70481,TA11420087,TAPGUS010,選修,,"五 2,3,4",和平 正205,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70481
自然科學領域探究與實作,陳育霖,70964,TA11420088,TAPHU0274,選修,,"五 9,10",公館 Ｓ303,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70964
科技與健康老化研究,廖邕,70518,TA11420089,TASRC8012,選修,,"五 3,4,5",和平 綜603,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70518
跨性別電影、文化,曾秀萍,70543,TA11420093,TATCU1019,選修,,"五 5,6,7",和平 誠207,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70543
語言接觸,蔡惠名,70545,TA11420094,TATCU2028,選修,,"五 2,3,4",和平 正403,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70545
進階臺語,蔡惠名,70546,TA11420095,TATCU2053,選修,,"四 2,3,4",和平 正403,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70546
雙語研究概論,莊育穎,70547,TA11420096,TATCU2054,選修,,"一 3,4",和平 正403,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70547
臺灣與世界文化,天江喜,70551,TA11420097,TATCU4037,選修,,"二 2,3,4",和平 正101,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70551
企業教育訓練,黃翊之,70863,TA11420098,TATEU0019,選修,,"三 9,10",和平 誠301,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70863
全球化關鍵議題,譚偉民,70864,TA11420099,TATEU0023,選修,,"四 8,9,10",和平 正202,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70864
《西遊記》及其英譯的問題（二）,李奭學,70567,TA11420101,TATIC8019,選修,,"五 7,8,9",和平 譯505,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70567
家具設計,蘇瀚,70573,TA11420102,TAVDU0159,選修,,"五 8,9,10",和平 設計系2B教,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70573
3D數位自造與商品化入門,黃浩瑜,70577,TA11420104,TAVDU0274,選修,,"三 6,7,8",和平 綜913,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70577
運動行銷學專題研究,程紹同,71447,TA11420113,TA2ED0025,選修,,"五 6,7,8",和平 體002,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71447
全民國防教育軍事訓練－國際情勢,李正文,71462,TA11420153,TA3DU0001,選修,,"五 6,7",和平 誠108,3 類,,0,,https://course.ntu.edu.tw/courses/114-2/71462
全民國防教育軍事訓練－國際情勢,李正文,71463,TA11420153,TA3DU0001,選修,,"五 8,9",和平 誠108,3 類,,0,,https://course.ntu.edu.tw/courses/114-2/71463
全民國防教育軍事訓練－全民國防,謝衍傑,71466,TA11420155,TA3DU0003,選修,,"五 3,4",公館 Ｅ101,3 類,,0,,https://course.ntu.edu.tw/courses/114-2/71466
全民國防教育軍事訓練－全民國防,謝衍傑,71467,TA11420155,TA3DU0003,選修,,"五 6,7",公館 Ｅ101,3 類,,0,,https://course.ntu.edu.tw/courses/114-2/71467
