課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
羽球初級,洪巧菱,97059,PE2064,002 50780,必修,體育室,,醫體1F,2 類,中文授課,1,40,"適合想要開始學習羽球、對羽球有興趣之同學。
希望透過此課程，帶領同學具備羽球基礎技能、了解羽球比賽規則與打球禮儀。

Badminton basic
Designed for students who want to start learning badminton or have an interest in the sport, this course aims to equip them with basic badminton skills, as well as knowledge of game rules and court etiquette.","1. 具備羽球基本技術 (正手拍、反手拍、切球及發球) 與概念。
2. 須瞭解羽球單、雙打比賽規則與技戰術
3. 建立規律運動習慣

Course Objectives
Acquire basic badminton skills (forehand, backhand, drop shot, and serve) and related concepts.
Understand the rules, techniques, and tactics of singles and doubles badminton matches.
Cultivate a regular exercise habit.","課程注意事項:
１．重視出席率:每堂課必點名。
２．重視服儀
為了您的安全，上課請全程穿著運動服裝（需為透氣、吸汗、貼身且具延展性之材質）、適合之運動鞋，並攜帶毛巾、飲水，以及運動後更換或保暖之衣物（自行選擇）。體育館內設有盥洗室，可供更衣使用。
請務必配合服裝要求；若不符合規定，經勸導後仍未改善，為顧及您及其他同學之安全，授課老師與助教有權暫停您的上課權利，敬請留意並見諒。
３．可自備個人專屬球拍

Course Guidelines
1. Attendance: Attendance will be taken in every class.

2. Attire: Proper sportswear (e.g., sportswear and sports shoes) is required.
For your safety, please wear proper sportswear throughout the class (made of breathable, sweat-absorbent, body-fitting, and stretchable materials), appropriate sports shoes, and bring a towel, drinking water, and clothing for changing or keeping warm after exercise (optional). Shower and changing facilities are available in the gymnasium.

Compliance with the dress code is mandatory. Those who do not meet the requirements and do not make improvements after being advised may have their participation suspended by the instructor or teaching assistant for the safety of themselves and others. Your understanding and cooperation are appreciated.

3. Personal Racket
Students are welcome to bring their badminton rackets.","50%	

Attendance and Learning attitude 

若未遵守課程服裝及相關規定，將可能影響此部分之分數
If course attire and related requirements are not followed, this component of the score may be affected.


25%	

Technical examination

Final exam: Drive (10%)
Final exam: Clear / serve (10%)
Final tournament (5%)


25%	

Weekly Challenge, Survey, & others

Weekly Challenge
Survey
Others

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",請自備乾淨球鞋。,"每次至少30分鐘/每周至少3-5次
Practice or exercise: a minimum of 30 minutes per session, at least 3–5 times per week",https://course.ntu.edu.tw/courses/114-2/97059
羽球初級,李文心,97060,PE2064,002 50780,必修,體育室,,(醫)館1F,2 類,中文授課,1,40,"本課程主要是藉由羽球基本技巧的教學與簡易比賽，帶領初學者複習羽球運動。
1.基本技術：握拍、執球、熟悉球感、簡易步法、發球、正手高遠長球、平球、切球、網前小
球、挑球、撲球。
2.綜合技術：分組個人排名賽，雙打友誼賽，比賽可以增進基本技術的應用性，增加樂趣與
挑戰性。

歡迎對羽球運動有興趣者及初階學習者參加課程 ( 非初學者需多協助初學者 )。","1.認識初階羽球運動。
2.學習羽球初階基本技巧。
3.學習羽球初階基本技戰術應用單、雙打比賽練習。
4.享受打羽球運動、練習比賽、擔任裁判、啦啦隊...等樂趣與分責技巧練習。
5.交朋友。","本課程本學期將視當天情形決定是否加簽，不提供換班。視當天學生人數及場地情況自行彈加幾位，課中協商 (*114-2學期將不再公開抽學生證加簽(欲加簽同學請勿浪費時間)，保留加簽人數太多時，教師得以當天視情況決定)，選上課程者須身著運動服、室內球鞋(羽球鞋為最佳)、需自備球拍與自備1筒羽球上課必用)。教師同意加簽者當天給加簽授權碼，並請盡快於當天課程中完成登錄 (加選時請留下基本資料及確定有索取授權碼，並登記無誤)。加簽條件需有相當羽球經驗並有意願協助班級課務及餵球給初學者，亦需自備球拍與羽球，條件與前述同。已選上課程者第1次上課無故未出席(含遲到10分鐘以上)未告知緣由者視為退選(上課10分鐘後點名，無故未出席者視為退選名額，提供為當天候補名。因故無法參與第1堂課者，需事先請假，否則，視為退選。課程參與從第一周開始。敬請配合! !


請上課同學穿著運動服裝、室內球鞋(羽球鞋為佳)、備好羽球球拍、羽球1筒(12顆)、水、毛巾...等，當天加簽的同學亦同。

一、 本體育課程上課注意事項：
1. 需填寫成績表（需照片乙張(可看出個人影像之生活照即可)，請於第一次、第二次上課帶來）。
2. 室內課程需著室內羽球鞋（或僅在室內穿著之室內運動鞋），禁止穿著高跟鞋、皮鞋或室外球鞋(請妥善處理)(綜合體育館規定)。
3. 教室內請勿飲食(綜合體育館規定)。
4. 上課請穿著吸汗棉質運動服裝、以專門服裝為佳，請勿穿著牛仔衣褲上課。
5. 請自行攜帶個人毛巾、水、保暖外套及換洗衣物。
6. 上課時(非必要時)請關手機，或轉成震動，以避免影響他人上課。
7. 本課程需要學生請保持上課場所清潔及良好學習態度(為要)。
8. 如遇缺課，請自行詢問同學當日課程訊息，以免影響自己課程順利進行。

二、基礎簡要要求*：
1.對羽球運動有興趣
2.請自備羽球拍與羽球 (1筒球)*
3.請準時上課 (可提早到場暖身為佳)
4.請穿著合適的運動服裝與室內球鞋 (羽球鞋為佳)
5.請學習態度良好 (能協助課程順利進行)
6.能與他人互助合作精神 (利他服務練習)","40%	

個人/個人技巧測驗*

*必需考試內容-

指定個人技巧測驗內容為：發球(雙打發球有效區)、高遠長球、Z字步5趟計時測驗：

1.發短球10%；發長球10%
2.高遠長球。10%
3.Z字步5趟計時。10%


30%	

個人/出席學習態度*	

*必需參與作業(每次上課皆現場點名，含早到、遲到，共14次)--

1.每次上課1-2分/總分 (包括服裝設備儀容)
2.無遲到、全勤、努力、明顯進步(初級程度)、學習態度良好(每次便可拿2分/總分)
3.同學互動、師 生互動 & 期末填寫課程學習回饋單 (視學生學習情況...)

註記：需留意缺課(含請假)請勿超過(含)5次，詳細請參考學則第四章，請假達三分之一者，該科成績以 X 等第登錄。


30%	

單雙打比賽練習：個人團體/單雙打排名賽練習*

*必需參與必賽練習-

比賽練習項目共有3項：

1.個人單打(全場)分組組內排名賽練習 (7、9、11分制 or...)
組內個人排名循環賽練習將於比賽前簡易說明...10%(2層(levels))

2.個人單打(全場)分組組間排名賽練習 (7、9、11分制 or... )：
A組(初學者) B組(有基礎或曾上過本校羽球初級課程者) /組間分組個人排名循環賽練習將於比賽前簡易說明...10%(3層(levels))課程關係需同學自己彼此互相擔任競賽組工作、球員、裁判、司線員...等服務工作。

3.團體雙打 (7、9、11分制 or... )：積極報隊參加課內團體比賽練習，含擔任競賽組工作、球員、裁判、司線員...等服務工作 指標 1.積極歡樂氛圍 2.分工合作情況 3.團體比賽成績...10%(3層(levels))


0%	

彈性加分

100分以外之(備用)6分

1.全校校園馬拉松賽、校運動會、游泳賽。 (增加全身性健康體適能力，以利羽球技巧控制與學習及比賽練習) 請檢附具體證明 (完成成績證明或一張現場比賽當下可紀念照片)，文件請存WORD檔。

2.台大盃、新生盃羽球賽、校內外各項羽球賽活動參與。(最多2項，請檢附具體證明，文件請存WORD檔)

繳交共1個檔案上傳，檔案名稱：113-2四67羽球_體育號碼_姓名。

(自己視情況彈性參與，此為非必要項目)

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",請自備乾淨球鞋。,能自主練習為佳,https://course.ntu.edu.tw/courses/114-2/97060
羽球初級,李文心,97061,PE2064,002 50780,必修,體育室,,(醫)館1F,2 類,中文授課,1,40,"本課程主要是藉由羽球基本技巧的教學與簡易比賽，帶領初學者複習羽球運動。
1.基本技術：握拍、執球、熟悉球感、簡易步法、發球、正手高遠長球、平球、切球、網前小
球、挑球、撲球。
2.綜合技術：分組個人排名賽，雙打友誼賽，比賽可以增進基本技術的應用性，增加樂趣與
挑戰性。

歡迎對羽球運動有興趣者及初階學習者參加課程 ( 非初學者需多協助初學者 )。","1.認識初階羽球運動。
2.學習羽球初階基本技巧。
3.學習羽球初階基本技戰術應用單、雙打比賽練習。
4.享受打羽球運動、練習比賽、擔任裁判、啦啦隊...等樂趣與分責技巧練習。
5.交朋友。","本課程本學期將視當天情況教師決定進行是否加簽，不提供換班。視當天學生人數及場地情況自行彈加幾位，課中協商 (*114-2學期將不再公開抽學生證加簽(欲加簽同學請勿浪費時間)，保留加簽人數太多時，教師得以當天視情況決定)，選上課程者須身著運動服、室內球鞋(羽球鞋為最佳)、需自備球拍與自備1筒羽球上課必用)。教師同意加簽者當天給加簽授權碼，並請盡快於當天課程中完成登錄 (加選時請留下基本資料及確定有索取授權碼，並登記無誤)。加簽條件需有相當羽球經驗並有意願協助班級課務及餵球給初學者，亦需自備球拍與羽球，條件與前述同。已選上課程者第1次上課無故未出席(含遲到10分鐘以上)未告知緣由者視為退選(上課10分鐘後點名，無故未出席者視為退選名額，提供為當天候補名。因故無法參與第1堂課者，需事先請假，否則，視為退選。課程參與從第一周開始。敬請配合，謝謝!


請上課同學穿著運動服裝、室內球鞋(羽球鞋為最佳)、備好羽球球拍、羽球1筒(12顆)、水、毛巾...等，當天加簽的同學亦同。

一、 本體育課程上課注意事項：
1. 需填寫成績表（需照片乙張(可看出個人影像之生活照即可)，請於第一次、第二次上課帶來）。
2. 室內課程需著室內羽球鞋（或僅在室內穿著之室內運動鞋），禁止穿著高跟鞋、皮鞋或室外球鞋(請妥善處理)(綜合體育館規定)。
3. 教室內請勿飲食(綜合體育館規定)。
4. 上課請穿著吸汗棉質運動服裝、以專門服裝為佳，請勿穿著牛仔衣褲上課。
5. 請自行攜帶個人毛巾、水、保暖外套及換洗衣物。
6. 上課時(非必要時)請關手機，或轉成震動，以避免影響他人上課。
7. 本課程需要學生請保持上課場所清潔及良好學習態度(為要)。
8. 如遇缺課，請自行詢問同學當日課程訊息，以免影響自己課程順利進行。

二、基礎簡要要求*：
1.對羽球運動有興趣
2.請自備羽球拍與羽球 (1筒球)*
3.請準時上課 (可提早到場暖身為佳)
4.請穿著合適的運動服裝與室內球鞋 (羽球鞋為佳)
5.請學習態度良好 (能協助課程順利進行)
6.能與他人互助合作精神 (利他服務練習)","40%	

個人/個人技巧測驗*

*必需考試內容-

指定個人技巧測驗內容為：發球(雙打發球有效區)、高遠長球、Z字步5趟計時測驗：

1.發短球10%；發長球10%
2.高遠長球。10%
3.Z字步5趟計時。10%


30%	

個人/出席學習態度*	

*必需參與作業(每次上課皆現場點名，含早到、遲到，共14次)--

1.每次上課1-2分/總分 (包括服裝設備儀容)
2.無遲到、全勤、努力、明顯進步(初級程度)、學習態度良好(每次便可拿2分/總分)
3.同學互動、師 生互動 & 期末填寫課程學習回饋單 (視學生學習情況...)

註記：需留意缺課(含請假)請勿超過(含)5次，詳細請參考學則第四章，請假達三分之一者，該科成績以 X 等第登錄。


30%	

單雙打比賽練習：個人團體/單雙打排名賽練習*

*必需參與必賽練習-

比賽練習項目共有3項：

1.個人單打(全場)分組組內排名賽練習 (7、9、11分制 or...)
組內個人排名循環賽練習將於比賽前簡易說明...10%(2層(levels))

2.個人單打(全場)分組組間排名賽練習 (7、9、11分制 or... )：
A組(初學者) B組(有基礎或曾上過本校羽球初級課程者) /組間分組個人排名循環賽練習將於比賽前簡易說明...10%(3層(levels))課程關係需同學自己彼此互相擔任競賽組工作、球員、裁判、司線員...等服務工作。

3.團體雙打 (7、9、11分制 or... )：積極報隊參加課內團體比賽練習，含擔任競賽組工作、球員、裁判、司線員...等服務工作 指標 1.積極歡樂氛圍 2.分工合作情況 3.團體比賽成績...10%(3層(levels))


0%	

彈性加分

100分以外之(備用)6分

1.全校校園馬拉松賽、校運動會、游泳賽。 (增加全身性健康體適能力，以利羽球技巧控制與學習及比賽練習) 請檢附具體證明 (完成成績證明或一張現場比賽當下可紀念照片)，文件請存WORD檔。

2.台大盃、新生盃羽球賽、校內外各項羽球賽活動參與。(最多2項，請檢附具體證明，文件請存WORD檔)

繳交共1個檔案上傳，檔案名稱：113-2四67羽球_體育號碼_姓名。

(自己視情況彈性參與，此為非必要項目)

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",請自備乾淨球鞋。,能自主練習為佳,https://course.ntu.edu.tw/courses/114-2/97061
羽球初級,李坤培,97064,PE2064,002 50780,必修,體育室,,綜館多功能,2 類,中文授課,1,48,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",請自備乾淨球鞋。,,https://course.ntu.edu.tw/courses/114-2/97064
羽球初級,李坤培,97065,PE2064,002 50780,必修,體育室,,綜館多功能,2 類,中文授課,1,48,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",請自備乾淨球鞋。,,https://course.ntu.edu.tw/courses/114-2/97065
羽球中級,陳志一,97066,PE2065,002 50790,必修,體育室,,綜館多功能,2 類,中文授課,1,48,"1、羽球運動簡史。
2、基本擊球動作與組合動作練習。
3、米字形步法。
4、分組單、雙打比賽練習。
5、規則與裁判法講解。
6、測驗。","1、培養對羽球運動的興趣與欣賞羽球技能的美感。
2、培養學生參與正當休閒活動。
3、培養學生參與羽球比賽能力。
4、培養學生欣賞羽球比賽動機。
5、促進學生身心發展。","1、自備輕便運動上衣,短褲與乾淨羽球鞋.
2、自備羽球拍1-2支,每次上課自備堪用練習球12顆.","40%	

期末測驗

切球、殺球、網前球與挑球組合動作測驗


30%	

比賽參與

單,雙打比賽


30%	

期中測驗

平推球


0%	

課程參與

上課遲到1次扣總分2分、公假病假不扣分（需提出證明）、事假扣總分3分、無故缺席1次扣總分5分；不接受同學代替請

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",限修過初級或具初級能力者。請自備乾淨球鞋。,每週課後練習2-4小時,https://course.ntu.edu.tw/courses/114-2/97066
羽球中級,陳志一,97067,PE2065,002 50790,必修,體育室,,綜館多功能,2 類,中文授課,1,48,"1、羽球運動簡史。
2、基本擊球動作與組合動作練習。
3、米字形步法。
4、分組單、雙打比賽練習。
5、規則與裁判法講解。
6、測驗。","1、培養對羽球運動的興趣與欣賞羽球技能的美感。
2、培養學生參與正當休閒活動。
3、培養學生參與羽球比賽能力。
4、培養學生欣賞羽球比賽動機。
5、促進學生身心發展。","1、自備輕便運動上衣,短褲與乾淨羽球鞋.
2、自備羽球拍1-2支,每次上課自備堪用練習球12顆.","40%	

期末測驗

切球、殺球、網前球與挑球組合動作測驗


30%	

比賽參與

單,雙打比賽


30%	

期中測驗

平推球


0%	

課程參與

上課遲到1次扣總分2分、公假病假不扣分（需提出證明）、事假扣總分3分、無故缺席1次扣總分5分；不接受同學代替請

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",限修過初級或具初級能力者。請自備乾淨球鞋。,每週課後練習2-4小時,https://course.ntu.edu.tw/courses/114-2/97067
羽球中級,陳志一,97068,PE2065,002 50790,必修,體育室,,綜館多功能,2 類,中文授課,1,48,"1、羽球運動簡史。
2、基本擊球動作與組合動作練習。
3、米字形步法。
4、分組單、雙打比賽練習。
5、規則與裁判法講解。
6、測驗。","1、培養對羽球運動的興趣與欣賞羽球技能的美感。
2、培養學生參與正當休閒活動。
3、培養學生參與羽球比賽能力。
4、培養學生欣賞羽球比賽動機。
5、促進學生身心發展。","1、自備輕便運動上衣,短褲與乾淨羽球鞋.
2、自備羽球拍1-2支,每次上課自備堪用練習球12顆.","40%	

期末測驗

切球、殺球、網前球與挑球組合動作測驗


30%	

比賽參與

單,雙打比賽


30%	

期中測驗

平推球


0%	

課程參與

上課遲到1次扣總分2分、公假病假不扣分（需提出證明）、事假扣總分3分、無故缺席1次扣總分5分；不接受同學代替請

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",限修過初級或具初級能力者。請自備乾淨球鞋。,每週課後練習2-4小時,https://course.ntu.edu.tw/courses/114-2/97068
羽球中級,連家瑩,97069,PE2065,002 50790,必修,體育室,指定閱讀,綜館多功能,2 類,中文授課,1,48,本課程旨在提升同學們單、雙打的能力，教導同學一些較細膩的羽球技巧，並讓同學熟悉單、雙打的攻防策略及雙打的攻防隊形。,同學們除了能夠正確做出各種擊球技巧(長球、切球、殺球、挑球、小球)，並能配合米字型腳步在球場上做出連續擊球的動作。在雙打比賽時能自然的做出攻擊及防守隊形。,穿著運動服、球鞋，攜帶羽球拍。,"0%	

課程參與

1.依每節上課表現態度給予加分或減分
2. 曠課1次扣總分8分
3. 事、病假(前面三次不扣分，第四次後1次扣總分4分 )
4. 未穿著運動服及運動鞋扣總分2分
5. 遲到: 1) 點名後10分鐘內到扣總分2分
2) 上課60分鐘內到一次扣總分4分
3) 上課60分鐘後到算曠課1次
6. 公、喪假不扣分，但須檢附證明


90%	

技能測驗

1. 單打比賽 (45%) 
2. 雙打比賽 (45%)


10%	

比賽參與 

參加校內、外羽球賽(例如:台大杯)。


0%	

評分標準

A+ = 96%-100% 	A = 90%-95% 	A- = 80%-89%
B+ = 77%-79% 	B = 74%-76% 	B- = 70% -73%
C+ = 67%-69% 	C = 64%-66% C- = 60%-63%

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",請自備乾淨球鞋。,,https://course.ntu.edu.tw/courses/114-2/97069
女羽球校隊,連家瑩,97070,PE2068,002 50820,選修,體育室,,(二)綜館多功能；(四)舊館羽球場。,2 類,中文授課,1,40,"1.訓練羽球基本技巧 
2.加強單雙打比賽觀念","透過系統化與循序漸進的訓練，提升隊員羽球專項技術、體能與比賽能力並在各級賽事中展現優異表現。

1) 技術層面:
- 掌握基本擊球技術（高遠球、平球、殺球、吊球、推撲球等）與多樣化步法。
- 培養正確擊球姿勢與穩定動作，以減少運動傷害。
- 精進雙打與單打的攻防技術，提升臨場應變能力。

2)戰術層面:
- 理解並運用不同戰術策略（進攻型、防守型、消耗型、變速型）。
- 能依對手特性與場上情勢調整戰術。

3)體能層面:
- 強化敏捷度、速度、爆發力與耐力。
- 培養核心肌群與下肢力量，支撐比賽所需動作。",球拍、球鞋、運動服,"30%	

參與隊務服務


30%	

課程參與


40%	

比賽成績

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",限校隊學生。上課地點：(二)綜館多功能；(四)舊館羽球場。,課前暖身與技術複習約 1 小時/課後自主練習與比賽分析約 2 小時,https://course.ntu.edu.tw/courses/114-2/97070
男羽球校隊,陳志一,97071,PE2069,002 50830,選修,體育室,,"二 A, B, C, D綜館多功能",2 類,中文授課,1,40,"1、羽球運動簡史。
2、基本擊球動作與組合動作練習。
3、米字形步法。
4、分組單、雙打比賽練習。
5、規則與裁判法講解。","1、培養對羽球運動的興趣與欣賞羽球技能的美感。
2、培養學生參與正當休閒活動。
3、培養學生參與羽球比賽能力。
4、培養學生欣賞羽球比賽動機。
5、促進學生身心發展。",參與對外比賽,"50%	

比賽參與


50%	

訓練課程參與

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",限校隊學生。,每週課後加強練習4-6小時,https://course.ntu.edu.tw/courses/114-2/97071
足球初級,楊裕隆,97072,PE2071,002 50860,必修,體育室,,,2 類,中文授課,1,44,"(一)基本動作
1.踢球
2.停球
3.盤(運)球
4.頭頂球
5.守門員動作
6.界外球
7.射門
(二)小組比賽
(三)足球規則介紹","1.了解足球基本技能、足球規則及比賽方法。
2.學習足球基本技能，體驗足球比賽及促進健康體適能。
3.享受足球運動的樂趣，並養成規律運動習慣。
1. Understand the basic skills of soccer, the rules of the game, and match procedures.
2. Learn fundamental soccer skills, experience soccer matches, and promote physical fitness and health.
3. Enjoy the fun of playing soccer and develop regular exercise habits.","1.請穿著運動服裝、運動鞋(或專用足球鞋) ，且為公認正式的運動服裝與運動鞋。
2.各隊輪流擔任值日生，負責借收還器材或協助上課場佈事務。
3.若室外場地無法使用，則實施室內教學（課程內容視場地情況更動）。
4.上課比賽時，盡量配戴隱形眼鏡。
5.上課比賽時，請注意安全，勿勉強出腳或爭搶高球。
6.個人包包或物品請集中放置明顯處或置物櫃。
7.盡量不缺課，若要請假，一律以學校網路請假系統為準。
8.請勿遲到早退，若遲到早退時請主動告知授課教師，若點名時不在場則以曠課論。
9.若有困難無法上課，請主動告知或建議停修。","30%	

技能

1.運球一直線全長距離30公尺，起點、中間點與折返點各放置一個標示盤，從起點開始盤運球，經過中間點需繞過一圈再盤運球繞過折返點，途經中間點再繞過一圈回到起點，男生來回盤運球兩趟，女生一趟，已完成時間計算成績。其餘細節於上課時說明。
2.兩人對踢：修課同學兩人一組(建議找同隊隊友)，若確定找不到夥伴，可以找一位修課同學協助測驗，協助的同學只能協助一位同學且不得當成自己的測驗成績。其餘細節於上課時說明。
3.補考規定：除了正規的測驗之外，第一次補考以此成績為最終成績(無擇優成績)，第二次補考則成績分數打9折，第三次補考成績分數打8折，以下類推。兩人對踢補考時需與原來的夥伴一起補考，不得以其他人替代。


20%	

比賽

每人基本原始分數為80分，授課教師或助教觀察同學於比賽時的表現給於加分，若有進球或助攻也給於加分。


20%	

規則測驗

原始分數100分，依考試成績計算。


30%	

出席與學習態度

原始分數100分，未缺課且學習態度良好不扣分，無故缺課每一節扣原始分數10分，事假每一節扣原始分數4分，病假每一節扣原始分數2分，生理假、心理健康假、公假、喪假、產假不扣分但須提出證明(生理假與心理健康假除外)，其餘依照學校請假規定辦理。
若未穿著符合規定的運動服裝或運動鞋者每次扣5分。

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,一小時,https://course.ntu.edu.tw/courses/114-2/97072
足球初級,楊裕隆,97073,PE2071,002 50860,必修,體育室,,,2 類,中文授課,1,44,"(一)基本動作
1.踢球
2.停球
3.盤(運)球
4.頭頂球
5.守門員動作
6.界外球
7.射門
(二)小組比賽
(三)足球規則介紹","1.了解足球基本技能、足球規則及比賽方法。
2.學習足球基本技能，體驗足球比賽及促進健康體適能。
3.享受足球運動的樂趣，並養成規律運動習慣。
1. Understand the basic skills of soccer, the rules of the game, and match procedures.
2. Learn fundamental soccer skills, experience soccer matches, and promote physical fitness and health.
3. Enjoy the fun of playing soccer and develop regular exercise habits.","1.請穿著運動服裝、運動鞋(或專用足球鞋) ，且為公認正式的運動服裝與運動鞋。
2.各隊輪流擔任值日生，負責借收還器材或協助上課場佈事務。
3.若室外場地無法使用，則實施室內教學（課程內容視場地情況更動）。
4.上課比賽時，盡量配戴隱形眼鏡。
5.上課比賽時，請注意安全，勿勉強出腳或爭搶高球。
6.個人包包或物品請集中放置明顯處或置物櫃。
7.盡量不缺課，若要請假，一律以學校網路請假系統為準。
8.請勿遲到早退，若遲到早退時請主動告知授課教師，若點名時不在場則以曠課論。
9.若有困難無法上課，請主動告知或建議停修。","30%	

技能

1.運球一直線全長距離30公尺，起點、中間點與折返點各放置一個標示盤，從起點開始盤運球，經過中間點需繞過一圈再盤運球繞過折返點，途經中間點再繞過一圈回到起點，男生來回盤運球兩趟，女生一趟，已完成時間計算成績。其餘細節於上課時說明。
2.兩人對踢：修課同學兩人一組(建議找同隊隊友)，若確定找不到夥伴，可以找一位修課同學協助測驗，協助的同學只能協助一位同學且不得當成自己的測驗成績。其餘細節於上課時說明。
3.補考規定：除了正規的測驗之外，第一次補考以此成績為最終成績(無擇優成績)，第二次補考則成績分數打9折，第三次補考成績分數打8折，以下類推。兩人對踢補考時需與原來的夥伴一起補考，不得以其他人替代。


20%	

比賽

每人基本原始分數為80分，授課教師或助教觀察同學於比賽時的表現給於加分，若有進球或助攻也給於加分。


20%	

規則測驗

原始分數100分，依考試成績計算。


30%	

出席與學習態度

原始分數100分，未缺課且學習態度良好不扣分，無故缺課每一節扣原始分數10分，事假每一節扣原始分數4分，病假每一節扣原始分數2分，生理假、心理健康假、公假、喪假、產假不扣分但須提出證明(生理假與心理健康假除外)，其餘依照學校請假規定辦理。
若未穿著符合規定的運動服裝或運動鞋者每次扣5分。

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,一小時,https://course.ntu.edu.tw/courses/114-2/97073
足球中級,楊裕隆,97074,PE2072,002 50870,必修,體育室,,,2 類,中文授課,1,44,"(一)基本動作進階及應用技術
1.控球
2.傳球
3.盤(運)球
4.假動作
5.護球
6.搶球
7.射門
(二)攻防戰術
1.小組
2.自由球
3.角球
(三)比賽","1.增進足球基本技能，並促進健康體能。
2.了解及學習足球比賽的攻防戰術。
3.透過足球比賽，學習團隊互助合作的運動精神。
4.享受足球運動的樂趣，並養成終身運動習慣。

1. Enhance fundamental soccer skills and improve overall physical fitness.
2. Understand and learn offensive and defensive tactics in soccer matches.
3. Develop teamwork and cooperation through participation in soccer games.
4. Enjoy the fun of soccer and cultivate lifelong exercise habits.","1.請穿著運動服裝、運動鞋(或專用足球鞋) ，且為公認正式的運動服裝與運動鞋。
2.各隊輪流擔任值日生，負責借收還器材或協助上課場佈事務。
3.若室外場地無法使用，則實施室內教學（若在體育館球場上課，請務必穿著運動服裝，請另備一雙鞋底乾淨的運動鞋或室內足球鞋。）
4.上課比賽時，盡量配戴隱形眼鏡。
5.上課比賽時，請注意安全，勿勉強出腳或爭搶高球。
6.個人包包或物品請集中放置明顯處。
7.盡量不缺課，若要請假，一律以學校網路請假系統為準。
8.請勿遲到早退，若遲到早退時請主動告知授課教師，若點名時不在場則以曠課論。
9.若有困難無法上課，請主動告知或建議停修。
10.請自行孰悉足球規則。","40%	

技能測驗

運球與踢遠


20%	

比賽

每人基本原始分數為80分，授課教師或助教觀察同學於比賽時的表現給於加分，若有進球或助攻也給於加分。


40%	

出席與學習態度

原始分數100分，未缺課且學習態度良好不扣分，無故缺課每一節扣原始分數10分，事假每一節扣原始分數4分，病假每一節扣原始分數2分，生理假、心理健康假、公假、喪假、產假不扣分但須提出證明(生理假與心理健康假除外)，其餘依照學校請假規定辦理。
若未穿著符合規定的運動服裝或運動鞋者每次扣5分。

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,一小時,https://course.ntu.edu.tw/courses/114-2/97074
