課名,授課教授,開課系所,學分,最後開課學期,流水號,課號,品質,甜度,涼度,紮實,評價內容,評價明細_JSON,課名_catalog,教師,課程識別碼,必選修,開課系所_catalog,上課時間,上課地點,加簽類別,授課語言,學分_catalog,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
半導體光學,彭隆瀚,電機工程學研究所、光電工程學研究所、生醫電子與資訊學研究所,3.0,114-2,13422,OE5004,,,,,"[""無評價""]",[],半導體光學,彭隆瀚,941 U0090,選修,電機工程學研究所 / 奈米科技學程 / 生醫電子與資訊學研究所 / 光電工程學研究所,,,1 類,中文授課,3.0,15.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/13422
光通訊元件導論,林恭如,電機工程學研究所、光電工程學研究所、生醫電子與資訊學研究所,3.0,114-2,37588,OE5008,,,,,"[""無評價""]",[],光通訊元件導論,林恭如,941 U0140,選修,電機工程學研究所 / 生醫電子與資訊學研究所 / 光電工程學研究所,,,2 類,英文授課,3.0,30.0,"To understand the fundamental theory and enabling technology of optical, photonic, and optoelectronic devices employed in versatile optical communication networks including fiber-optic, free-space and wireline/wireless links. The physics and principle of transmitters, medium, modulators, amplifiers and receivers will be particularly emphasized in this course. Course content includes the Overview of Optical Communications, the Waveguides and Fibers, the Guided Mode and Field Theory, the Modal and Chromatic Dispersion in Fiber, the Semiconductor Physics of Light Sources such as.Gain, Efficiency, and Response of LED and Laser Diodes, the Cavity Mode Theory of LDs, the Single-Mode Lasing, Modulation and Pulsation of LDs, the Electro-Optic Mach-Zehnder and Electro-Absorption Modulattors, the Photodiode and Receivers.","1st Week: Overview of Optical Communications 2nd Week: Waveguides and Fibers - Fundamentals and Specifications 3rd Week: Fibers - Guided Mode and Field Theory (I) 4th Week: Fibers - Guided Mode and Field Theory (II) 5th Week: Modal and Chromatic Dispersion in Fiber (I) 6th Week: Light Sources (I) - Semiconductor Physics of LED 7th Week: Light Sources (I) - Gain, Efficiency, and Response of LED and TA Hour I 8th Week: Mid-term Exam 9th Week: Light Source (I) - Laser Diodes and TA Hour II 10th Week: Light Source (I) - Cavity Mode Theory of LDs and TA Hour III 11th Week: Light Source (II) - Single-Mode Lasing of LDs 12th Week: Light Source (II) - Modulation and Pulsation of LDs 13th Week: External Modulator (I)- Electro-Optic Mach-Zehnder Modulator 14th Week: Laboratory Work - Experiment (I) 15th Week: Laboratory Work - Experiment (II) 16th Week: External Modulator (II) - Electro-Absorption Modulator 17th Week: Photodiode and Receivers - pin PD and APD 18th Week: Final Exam or Report","Mid-term Exam 50%, Lab Experiments and Oral/Paper Reports 50%","50%	

Final Report

Lab experiments, oral report including slides, papers, and 15-min presentation


50%	

Mid-term Exam

Open Lecture

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。,"Lecture, Reference books will be informed in class",https://course.ntu.edu.tw/courses/114-2/37588
雷射導論,蔡睿哲,電機工程學研究所、光電工程學研究所,3.0,114-2,27756,OE5016,,,,,"[""無評價""]",[],雷射導論,蔡睿哲,941 U0250,選修,電機工程學研究所 / 光電工程學研究所,,,1 類,中文授課,3.0,100.0,"Laser amplifiers
1) Optical transitions
2) Optical absorption and amplification
3) Population inversion and optical gain
4) Laser amplifiers
5) Rare-earth ion-doped fiber amplifiers

Laser oscillators
6) Resonant optical cavities
7) Laser oscillation
8) Laser power; relaxation oscillation
9) Pulsed lasers
10) Optical fiber lasers

Optional:

Semiconductor basics

Semiconductor lasers and light-emitting diodes
11) Radiative recombination
12) Band-to-band optical transitions
13) Optical gain
14) Spontaneous emission
15) Junction structures
16) Lateral structures
17) Light-emitting diodes
18) Semiconductor optical amplifiers
19) Semiconductor lasers
20) Semiconductor laser characteristics",本課程教授雷射相關之基礎知識，期使學生對雷射基本工作原理及應用能有相當程度之了解。課程內容涵蓋雷射增益介質(Gain media)、雷射共振腔(Laser cavity)、輸出功率等。,"評分方式：期中考45%；期末考55%
(本課程不採用校方「等第成績與等第績分表」所定義之分數區間)","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,每週課前1小時，每週課後3小時。,https://course.ntu.edu.tw/courses/114-2/27756
顯示技術導論,李君浩,電機工程學研究所、光電工程學研究所,3.0,114-2,22572,OE5025,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
液晶顯示器技術,蔡永傑,電機工程學研究所、光電工程學研究所,3.0,114-2,31332,OE5034,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
光電元件程式模擬,吳育任,電機工程學研究所、光電工程學研究所,3.0,114-2,29078,OE5060,,,,,"[""無評價""]",[],光電元件程式模擬,吳育任,941 U0600,選修,電機工程學研究所 / 光電工程學研究所,,,1 類,英文授課,3.0,24.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。,,https://course.ntu.edu.tw/courses/114-2/29078
多速率信號處理,馮世邁,電機工程學研究所、電信工程學研究所,3.0,114-2,10542,CommE7004,,,,,"[""無評價""]",[],多速率信號處理,馮世邁,942 M0310,選修,電機工程學研究所 / 電信工程學研究所,,,3 類,中文授課,3.0,45.0,"In this course, we will study the applications of multirate signal processing theory to the study of multicarrier communications. In particular, OFDM systems and its variations will be covered in details. Advanced topics on multicarrier transceiver systems will be discussed.",see course outline for details,"Signals and Systems, Basics of DSP and Random Process, Basics of Digital Communications.","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/10542
微波積體電路專題,林坤佑,電機工程學研究所、電信工程學研究所,3.0,114-2,14436,CommE5002,,,,,"[""無評價""]",[],微波積體電路專題,林坤佑,942 U0120,選修,電機工程學研究所 / 電信工程學研究所,,,2 類,中文授課,3.0,20.0,"1. 固態微波元件及其非線性特性分析與模型
2. 非線性微波電路之模擬與設計
3. 電路設計與佈局實作","1. 學習建立非線性元件模型，包含：
A. 二極體 (GaAs HEMT Diode)
B. 雙極性電晶體 (GaAs HBT)
C. 場效電晶體 (GaAs pHET)
2. 學習非線性微波積體電路理論，包括：
A. 功率放大器 (Power amplifier)
B. 混頻器 (Mixer)
C. 倍頻器 (Frequency multiplier)
D. 開關 (Oscillator)
E. 振盪器 (Switch)
3. 非線性微波積體電路設計、模擬與佈局實作。",一、成績,"作業、考試及設計實作
二、預修課程:
微波單晶積體電路、電子學、電路學、電磁學
預期每週課前或/與課後學習時數
6小時
Office Hour
*此 Office Hour 需要提前預約
指定閱讀
課程投影片
參考書目
[1] S. A. Maas, Microwave Mixers, 2nd Edition, Artech House, Norwood, MA, 1992.
[2] F. Ali and A. Gupta, editors, HEMTs & HBTs: Devices, Fabrication and Circuits, Artech House, Norwood, MA, 1991.
[3] R. Goyal, editor, Monolithic Microwave Integrated Circuits: Technology & Design, Artech House, Norwood, MA, 1989.
[4] Inder Bahl and Prakash Bhartia, Microwave Solid State Circuit Design, John Wiley & Sons Ltd., 1988.
[5] Steve C. Cripps, RF Power Amplifiers for Wireless Communications, Artech House, Norwood, MA, 1999.
[6] David M. Pozar, Microwave Engineering, 2nd Edition, John Wiley & Sons Ltd., 1998.
[7] Ulrich L. Rohde and David P. Newkirk, RF/Microwave Circuit Design for Wireless Applications, John Wiley & Sons, Inc., 2000.
[8] Edmar Camargo, Design of FET Frequency Multipliers and Harmonic Mixers, Artech House, Inc., Norwood, MA, 1998.
[9] 張盛富、張嘉展，無線通訊射頻晶片模組設計：射頻系統篇，全華圖書
[10] 張盛富、張嘉展，無線通訊射頻晶片模組設計：射頻晶片篇，全華圖書
評量方式
本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與王  暉合授,6小時,https://course.ntu.edu.tw/courses/114-2/14436
物聯網應用系統專題,賴怡吉,電機工程學研究所、電信工程學研究所,3.0,114-2,17981,CommE5048,,,,,"[""無評價""]",[],物聯網應用系統專題,賴怡吉,942 U0620,選修,電機工程學研究所 / 電信工程學研究所,,,3 類,中文授課,3.0,30.0,".物聯網 (Internet of Things, IoT) 已經逐漸融入各產業與現代生活之中，為培養已具備物聯網基礎 (例如修過「物聯網導論」) 之學生，能實作各種不同的創新應用系統，有助於學生未來面對產業及市場。故以Device and Service Discovery, Remote Deployment, Configuration Management, Sensing and Control, Data Visualization and Analytics, Positioning and Location-based Service 等有連貫性之IoT先進課題為實作系統專題，並導入無人載具 (Drones) 為課程內容主體，成為本課程重點。
第1週：物聯網 (IoT)應用系統實作課程說明
第2-4週：Topic #1: End-to-End: Full-Stack Development 端到端: 全端開發專題
第5-7週：Topic #2: Device Identification, Deployment & Configuration Management 設備佈建與組態管理專題
第8-10週：Topic #3: IoT Security 物聯網與資安專題
第11-13週：Topic #4: IPS/LBS (Indoor-Positioning System) 定位系統實作專題
第14-16週：Topic #5: 無人載具車/機/艦任務編隊 (Unmanned Vehicles' Fleet Task Force) 應用實作專題
以上均含：國內外應用現況、實作project架構需求、實作軟硬體平台介紹、應用實作、討論、測試與成果報告。
(第17週：彈性運用週)","1. 以問題導向方式，培養全面IoT系統觀層級的開發與設計能力。
2. 從實際系統開發專題實作，深入掌握IoT的重要系統觀念與關鍵技術。
3. 建立全端(Full-stack)、全產品生命週期(Full-Lifecycle) 的全面系統整合的實作能力。
4. 引發對IoT先進應用領域的探索興趣與深入研究動機。","建議預修科目：
物聯網導論
先備能力：
為確保學習效果，建議具備Linux 操作或程式編譯經驗，熟悉一種以上程式語言，以及基本TCI/IP網路管理能力為佳","45%	

各單元占比-前半

每單元15%


46%	

各單元占比-後半

每單元23%


9%	

課堂表現

Note: The instructor reserves all rights to adjust the final grade(s).

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",上課教室：明達館402。與吳瑞北合授,課後學習 (含無人載具操作) 時數: 3-6,https://course.ntu.edu.tw/courses/114-2/17981
工程數學特論,丁建均,電機工程學研究所、電信工程學研究所,3.0,114-2,45518,CommE5055,,,,,"[""[PTT | 109-2]: 轉載自 PTT 作者 ID: alfa871212 (阿呆)\n哪一學年度修課：\n109-2\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n丁建均\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n電機所電信所選修（可當電機系系定選修）\nδ 課程大概內容\n節錄自http://djj.ee.ntu.edu.tw/EM.htm\n(A) Differential Equation\n\n(1) Numerical method and nonlinear DE\n\n(2) Partial Differential Equations\n\n(3) Function Approximation\n\n(B) Fourier Analysis\n\n(1) Fourier Analysis\n\n(2) 2D FT and Discrete FT\n\n(C) Linear Algebra\n\n(1) Advanced Linear Algebra\n\n(2) Generalized Norm and Optimization\n\n(3) Discrete Function Approximate\n\n(4) SVD and Principal Component Analysis (PCA)\n\n(D) Probability and Statistics\n\n(1) Probability Model, Entropy, and KL Divergence\n\n(2) Random Process, Independent Component Analysis\n\n\nΩ 私心推薦指數(以五分計) ★★★★★\n想複習一下工數 ★★★★★\n\n甜、涼 ★★★★★\n\n不喜歡證明 ★★★★★\n\n\nη 上課用書(影印講義或是指定教科書)\n教授投影片，其他參考用書在課程網站都有，主要是電機系各門數學課課本\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n投影片為主，教授會用手寫筆在上面講解，課後會上傳筆跡檔在網站\n（貼心），本學期上課都有上傳錄影到NTU COOL上，所以沒有受疫情\n影響。教學風格是一貫的Djj Style，就是把講義一步步講解，不會亂\n跳或是突然進度很趕，算是很好適應的風格。\nσ 評分方式(給分甜嗎？是紮實分？)\n紮實甜\n\n每三週出一次作業，共五次\n（含4~6大題手寫＋程式作業 w python or Matlab）各13%\n\n期末考因疫情open everything，原訂open book\n（考試時間13:30~21:00超級充足）35%\n\n\nρ 考題型式、作業方式\n作業跟考試十分接近，大部分都是講義例題稍微改動，照著步驟做應該\n不會到太難，而且三週時間很充裕。程式作業都是用python或是matlab\n實作解題（用電腦幫你算你原本手算的東西），沒有基礎也沒問題，稍\n微查一些用法應該30行內搞定\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n從Syllabus可以知道這門課幾乎就是電機系數學課的延伸（微方，線代，\n信號，機率），不過教授想培養的是如何解這些問題的方法，所以難度\n應該比上面的課相對容易一些。基礎應該就是工數（ODE ，eigenvalue，\nFourier），不過教授會全部帶你練習，即使不熟練應該也可以聽懂。完\n全不注重出席率，不過有些東西可以現場問老師還是好一點。加簽方式\n不太清楚，不過應該是全簽。\nΨ 總結\n這門課涵蓋了電機系大學部的工數部分，如果研究所在準備考試有用到\n應該多少可以當成複習。只要好好寫作業，教授一般不會刁難同學，作\n業考試和上課內容是十分吻合，如果有缺甜選修可以參考看看。另外我\n把這學期我自己寫的作業還有程式作業放在github\nhttps://github.com/alfa871212/Engineering_mathematic\n可能有誤，請斟酌使用。\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1625332627.A.B6D.html"", ""[PTT | 108-2]: 轉載自 PTT 作者 ID: CupidError (消失)\n哪一學年度修課：108-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n丁建均教授\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n電機所、電信所選修\n\nδ 課程大概內容\n分成四個大主題：微分方程、傅立葉分析、線性代數、機率與統計，以下章節順序是老師自己編排的。\n\n一、微分方程\nChapter 1 Numerical Methods and Nonlinear Differential Equations\nChapter 2 Partial Differential Equations\nChapter 3 Function Approximation\n(用 Orthogonal Basis 來近似函數在某一區間上的行為、Gram-Schmidt process、Legendre Polynomial)\n\n二、傅立葉分析\nChapter 4 Fourier Analysis\nChapter 5 Sampling and Discrete Fourier Transform\n\n三、線性代數\nChapter 6 Advanced Linear Algebra\n(Kroneker Product、Jordan Canonical Form、矩陣版本的 Exponential, sine, cosine 函數、Markov Model)\nChapter 7 Discrete Basis Approximation\n(Chapter 3的離散版本、矩陣的 Pseudo Inverse)\nChapter 8 Component Analysis\n(奇異值分解(SVD)、主成份分析(PCA))\n\n四、機率與統計\nChapter 9 Advanced Probability\n(Moment, Correlation, Entropy, KL Divergence, 獨立成份分析(ICA))\n\nΩ 私心推薦指數(以五分計) ★★★★★\n輕鬆舒服的數學課 ★★★★★\n\nη 上課用書(影印講義或是指定教科書)\n主要是老師自編的投影片，非常詳細。參考用書有以下：（我是完全沒用到）\n\n[1] D. G. Zill and Michael R. Cullen, Differential Equations-with\nBoundary-Value Problem (metric version), 9th edition, Cengage Learning, 2017.\n[2] D. G. Zill, W. S. Wright, and J. J. Ding, Engineering Mathematics, Metric\nEdition, Cengage Learning, Taipei, Taiwan, 2019.\n[3] R. N. Bracewell, The Fourier Transform and Its Applications, 3rd ed.,\nMcGraw Hill, Boston, 2000.\n[4] L. E. Spence, A. J. Insel, and S. H. Friedberg, Elementary Linear Algebra\n- A Matrix Approach, 3rd ed., 2014.\n[5] R. D. Yates and D. J. Goodman, Probability and Stochastic Processes, 3rd\nEdition, John Wiley and Sons, 2015.\n[6] A. Papoulis and S.U. Pillai, Probability, Random Variables, and\nStochastic Processes, 4th edition, Mcgraw-Hill, 2002.\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n投影片上課。因為疫情關係老師會錄影傳到 NTU Cool 上，所以可以依自己喜歡多複習幾次。\n不過因為老師是第一次開這門課，所以投影片都是新寫的，上面打錯滿多東西，老師下課後會上傳筆跡檔，上面會有各種修改痕跡。所以推薦上課前印投影片然後直接手改（也可以下載之後用電腦改，但很花時間）。千萬不要考前一天才把投影片全印下來，難保期末考的時候抄到有 typo 的公式。不過下次開課可能就會改善許多。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n作業 13% ×5\n期末考 35%\n\n甜到不行。還沒公佈分布，猜測會有一堆A+。\n\nρ 考題型式、作業方式\n作業和考試都和課堂投影片的範例類似，期末考 Open Book，基本上不會刁難同學。計算題老師會事先算過，盡量避免那種數字醜積分要積一小時的題目。每次作業會有一題程式題，把教過的演算法用 Matlab 或 Python 實作一遍，不難，半小時內都可以寫完。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n用到很多積分。其他像微分方程、線性代數、機率統計最前面老師都會簡單複習一次，零基礎也可以來。\n老師人很好，下課可以問他問題，他通常會整節下課都在回答同學的問題。這整個學期多達 700 頁的投影片都是他自己做的，真是非常敬佩老師。\n\nΨ 總結\n一門輕鬆舒服的數學課。老師主要是要補充電機系大學部工程數學沒教到但他覺得比較常用的部分，要是上到一半突然教到你研究需要的數學工具那當然更好。我正好複習到了早就忘光的 Sampling Theorem ，滿好的。可以當作補充一些常識，也不錯。\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1596951035.A.7AF.html""]","[{""User_ID"": ""PTT"", ""Semester"": ""109-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: alfa871212 (阿呆)\n哪一學年度修課：\n109-2\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n丁建均\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n電機所電信所選修（可當電機系系定選修）\nδ 課程大概內容\n節錄自http://djj.ee.ntu.edu.tw/EM.htm\n(A) Differential Equation\n\n(1) Numerical method and nonlinear DE\n\n(2) Partial Differential Equations\n\n(3) Function Approximation\n\n(B) Fourier Analysis\n\n(1) Fourier Analysis\n\n(2) 2D FT and Discrete FT\n\n(C) Linear Algebra\n\n(1) Advanced Linear Algebra\n\n(2) Generalized Norm and Optimization\n\n(3) Discrete Function Approximate\n\n(4) SVD and Principal Component Analysis (PCA)\n\n(D) Probability and Statistics\n\n(1) Probability Model, Entropy, and KL Divergence\n\n(2) Random Process, Independent Component Analysis\n\n\nΩ 私心推薦指數(以五分計) ★★★★★\n想複習一下工數 ★★★★★\n\n甜、涼 ★★★★★\n\n不喜歡證明 ★★★★★\n\n\nη 上課用書(影印講義或是指定教科書)\n教授投影片，其他參考用書在課程網站都有，主要是電機系各門數學課課本\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n投影片為主，教授會用手寫筆在上面講解，課後會上傳筆跡檔在網站\n（貼心），本學期上課都有上傳錄影到NTU COOL上，所以沒有受疫情\n影響。教學風格是一貫的Djj Style，就是把講義一步步講解，不會亂\n跳或是突然進度很趕，算是很好適應的風格。\nσ 評分方式(給分甜嗎？是紮實分？)\n紮實甜\n\n每三週出一次作業，共五次\n（含4~6大題手寫＋程式作業 w python or Matlab）各13%\n\n期末考因疫情open everything，原訂open book\n（考試時間13:30~21:00超級充足）35%\n\n\nρ 考題型式、作業方式\n作業跟考試十分接近，大部分都是講義例題稍微改動，照著步驟做應該\n不會到太難，而且三週時間很充裕。程式作業都是用python或是matlab\n實作解題（用電腦幫你算你原本手算的東西），沒有基礎也沒問題，稍\n微查一些用法應該30行內搞定\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n從Syllabus可以知道這門課幾乎就是電機系數學課的延伸（微方，線代，\n信號，機率），不過教授想培養的是如何解這些問題的方法，所以難度\n應該比上面的課相對容易一些。基礎應該就是工數（ODE ，eigenvalue，\nFourier），不過教授會全部帶你練習，即使不熟練應該也可以聽懂。完\n全不注重出席率，不過有些東西可以現場問老師還是好一點。加簽方式\n不太清楚，不過應該是全簽。\nΨ 總結\n這門課涵蓋了電機系大學部的工數部分，如果研究所在準備考試有用到\n應該多少可以當成複習。只要好好寫作業，教授一般不會刁難同學，作\n業考試和上課內容是十分吻合，如果有缺甜選修可以參考看看。另外我\n把這學期我自己寫的作業還有程式作業放在github\nhttps://github.com/alfa871212/Engineering_mathematic\n可能有誤，請斟酌使用。\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1625332627.A.B6D.html""}, {""User_ID"": ""PTT"", ""Semester"": ""108-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: CupidError (消失)\n哪一學年度修課：108-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n丁建均教授\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n電機所、電信所選修\n\nδ 課程大概內容\n分成四個大主題：微分方程、傅立葉分析、線性代數、機率與統計，以下章節順序是老師自己編排的。\n\n一、微分方程\nChapter 1 Numerical Methods and Nonlinear Differential Equations\nChapter 2 Partial Differential Equations\nChapter 3 Function Approximation\n(用 Orthogonal Basis 來近似函數在某一區間上的行為、Gram-Schmidt process、Legendre Polynomial)\n\n二、傅立葉分析\nChapter 4 Fourier Analysis\nChapter 5 Sampling and Discrete Fourier Transform\n\n三、線性代數\nChapter 6 Advanced Linear Algebra\n(Kroneker Product、Jordan Canonical Form、矩陣版本的 Exponential, sine, cosine 函數、Markov Model)\nChapter 7 Discrete Basis Approximation\n(Chapter 3的離散版本、矩陣的 Pseudo Inverse)\nChapter 8 Component Analysis\n(奇異值分解(SVD)、主成份分析(PCA))\n\n四、機率與統計\nChapter 9 Advanced Probability\n(Moment, Correlation, Entropy, KL Divergence, 獨立成份分析(ICA))\n\nΩ 私心推薦指數(以五分計) ★★★★★\n輕鬆舒服的數學課 ★★★★★\n\nη 上課用書(影印講義或是指定教科書)\n主要是老師自編的投影片，非常詳細。參考用書有以下：（我是完全沒用到）\n\n[1] D. G. Zill and Michael R. Cullen, Differential Equations-with\nBoundary-Value Problem (metric version), 9th edition, Cengage Learning, 2017.\n[2] D. G. Zill, W. S. Wright, and J. J. Ding, Engineering Mathematics, Metric\nEdition, Cengage Learning, Taipei, Taiwan, 2019.\n[3] R. N. Bracewell, The Fourier Transform and Its Applications, 3rd ed.,\nMcGraw Hill, Boston, 2000.\n[4] L. E. Spence, A. J. Insel, and S. H. Friedberg, Elementary Linear Algebra\n- A Matrix Approach, 3rd ed., 2014.\n[5] R. D. Yates and D. J. Goodman, Probability and Stochastic Processes, 3rd\nEdition, John Wiley and Sons, 2015.\n[6] A. Papoulis and S.U. Pillai, Probability, Random Variables, and\nStochastic Processes, 4th edition, Mcgraw-Hill, 2002.\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n投影片上課。因為疫情關係老師會錄影傳到 NTU Cool 上，所以可以依自己喜歡多複習幾次。\n不過因為老師是第一次開這門課，所以投影片都是新寫的，上面打錯滿多東西，老師下課後會上傳筆跡檔，上面會有各種修改痕跡。所以推薦上課前印投影片然後直接手改（也可以下載之後用電腦改，但很花時間）。千萬不要考前一天才把投影片全印下來，難保期末考的時候抄到有 typo 的公式。不過下次開課可能就會改善許多。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n作業 13% ×5\n期末考 35%\n\n甜到不行。還沒公佈分布，猜測會有一堆A+。\n\nρ 考題型式、作業方式\n作業和考試都和課堂投影片的範例類似，期末考 Open Book，基本上不會刁難同學。計算題老師會事先算過，盡量避免那種數字醜積分要積一小時的題目。每次作業會有一題程式題，把教過的演算法用 Matlab 或 Python 實作一遍，不難，半小時內都可以寫完。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n用到很多積分。其他像微分方程、線性代數、機率統計最前面老師都會簡單複習一次，零基礎也可以來。\n老師人很好，下課可以問他問題，他通常會整節下課都在回答同學的問題。這整個學期多達 700 頁的投影片都是他自己做的，真是非常敬佩老師。\n\nΨ 總結\n一門輕鬆舒服的數學課。老師主要是要補充電機系大學部工程數學沒教到但他覺得比較常用的部分，要是上到一半突然教到你研究需要的數學工具那當然更好。我正好複習到了早就忘光的 Sampling Theorem ，滿好的。可以當作補充一些常識，也不錯。\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1596951035.A.7AF.html""}]",工程數學特論,丁建均,942 U0690,選修,電機工程學研究所 / 電信工程學研究所,,,1 類,中文授課,3.0,170.0,本課將介紹微分方程，傅立葉轉換，線性代數，數值方法，機率與統計較進階的部分，尤其是將介紹實際在做信號處理、濾波器設計、最佳化、和機器學習的研究會用到的數學理論，以做為大學課程和研究所做研究之間的銜接,由於隨著科技的快速進步，大學工程數學所學的東西已未必符合研究上的需求，這門課是對工程數學較進階的部分做介紹，讓同學們在學習較進階的技術時，能夠有足夠的數學基礎,待補,"65%	

Homework

每 3 週一次, 每次有一個程式題 (可用 Matlab 或 Python)，其餘為計算題


35%	

Final Exam

在期末考週進行，為 Open Book 的方式

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與王新博合授,,https://course.ntu.edu.tw/courses/114-2/45518
太赫茲積體電路與系統,李俊興,電機工程學研究所、電信工程學研究所、電子工程學研究所、生醫電子與資訊學研究所、積體電路設計與自動化碩士學位學程、積體電路設計與自動化博士學位學程,3.0,114-2,22734,CommE5062,,,,,"[""無評價""]",[],太赫茲積體電路與系統,李俊興,942 U0760,選修,電機工程學研究所 / 積體電路設計與自動化博士學位學程 / 積體電路設計與自動化碩士學位學程 / 生醫電子與資訊學研究所 / 電子工程學研究所 / 電信工程學研究所,,,1 類,英文授課,3.0,80.0,"本課程將介紹新興太赫茲應用所需的電路及系統設計技巧。內容涵蓋太赫茲元件、電磁模型建立技巧、相易嵌入網路技巧、太赫茲關鍵次電路、封裝技巧、量測技巧及系統設計。本課程的作業及專題將使用電路及電磁模擬軟體進行實作。課程內容如下：
 太赫茲科學與技術簡介
 CMOS元件與分析方法
 太赫茲主被動元件電磁模型建立技巧
 相易嵌入網路技巧
 近fmax放大器、 太赫茲功率偵測器及太赫茲接收機
 近fmax振盪器、太赫茲諧波振盪器及太赫茲倍頻器
 太赫茲天線及反射式天線系統
 太赫茲封裝及量測技巧
 太赫茲收發機架構、相位陣列及系統規畫",提供學生新興太赫茲應用所需的電路及系統設計技巧。,預修科目：電子學、電磁學。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。,,https://course.ntu.edu.tw/courses/114-2/22734
